campaign_id,channel,objective,industry,budget,impressions,clicks,conversions,revenue,duration_days
CAM0001,Influencer,Conversion,EdTech,103806.31,1041954,144804,4353,713101.0,53
CAM0002,Email,Conversion,HealthTech,297992.21,3747885,131186,5,684869.79,47
CAM0003,SEO,Conversion,HealthTech,179970.22,4685356,127807,4486,535427.95,85
CAM0004,Google Ads,Conversion,HealthTech,436110.65,3699533,109183,4801,79781.81,14
CAM0005,Google Ads,Lead Gen,HealthTech,69538.87,2351609,126127,1051,735162.82,48
CAM0006,SEO,Lead Gen,E-Commerce,479634.02,3748229,184756,4445,357518.26,16
CAM0007,Meta Ads,Lead Gen,EdTech,221270.43,686020,191765,4749,628443.83,72
CAM0008,Email,Retention,EdTech,32337.44,4323707,123761,2774,190437.63,47
CAM0009,Google Ads,Lead Gen,SaaS,481617.85,1463201,146882,3832,682632.87,53
CAM0010,Email,Lead Gen,HealthTech,36484.77,1627354,152035,2422,641038.17,19
